ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Lorraine_INP_-_ENSG										7	42.9	28.6	2747	2501	10	
SeaTech_Toulon										19	26.3	42.1	2309	2108	18	
SUPMECA_Paris										19	31.6	15.8	1516	1450	20	
TELECOM_PHYSIQUE_Strasbourg										32	43.8	28.1	1998	1989	31	
Toulouse_INP_-_ENSEEIHT_-_Electronique-Energie-Automatique_(EEA)										21	19.0	47.6	1320	1282	20	
Toulouse_INP_-_ENSEEIHT_-_Mécanique_des_Fluides-Energetique-Environnement_(MFEE)										18	44.4	22.2	1063	1034	16	
Toulouse_INP_-_ENSEEIHT_-_Sciences_du_Numérique										6	16.7	16.7	874	781	7	
Toulouse_INP_-_ENSIACET_-_Génie_des_Procédés										13	38.5	30.8	2065	2030	17	
Toulouse_INP_-_ENSIACET_-_Génie_Industriel										9	33.3	22.2	1827	1804	10	
Concours Commun Polytechnique PC-Physique	4889	35.1	22.5	3762	34.8	25.1	3315	36.4	25.4	597					612	
Bordeaux_INP_-_ENSCBP_Chimie-Génie_physique										36	52.8	36.1	1667	1627	42	
Chimie_ParisTech										56	46.4	14.3	309	287	65	
CPE_LYON_Chimie_â€“_génie_des_procédés										55	52.7	18.2	2705	2548	45	
ECPM_-_ESBS_Strasbourg_-_CHEMBIOTECH										6	66.7	50.0	1069	1063	5	
ECPM_Strasbourg										44	61.4	18.2	1257	1202	42	
ENSC_Lille										33	48.5	39.4	1722	1651	40	
ENSC_Montpellier										59	57.6	16.9	783	785	60	
ENSC_Mulhouse										34	52.9	20.6	2389	2313	35	
ENSC_Rennes										44	47.7	25.0	2062	1875	40	
ENSI_Poitiers_-_Génie_de_l'Eau_et_Génie_Civil										19	31.6	36.8	2825	2752	21	
ENSICAEN_Mat._et_Chimie										31	35.5	29.0	2555	2514	30	
Lorraine_INP_-_ENSIC										54	51.9	25.9	2026	1865	45	
SIGMA_Clermont-Ferrand_(ex_ENSCCF)										39	61.5	25.6	2149	2088	36	
Toulouse_INP_-_ENSIACET_-_Chimie										32	50.0	12.5	1179	1157	30	
Toulouse_INP_-_ENSIACET_-_Génie_chimique										31	58.1	22.6	1777	1775	34	
Toulouse_INP_-_ENSIACET_-_Matériaux										29	27.6	31.0	1892	1823	33	
Concours Commun Polytechnique PC-Chimie	4704	36.5	22.7	3692	36.5	25.1	3266	37.9	25.3	602					603	
Lorraine_INP_-_EEIGM	426	49.1	19.2	223	52.5	21.1	20	55.0	20.0	4	50.0	50.0	25	21	10*	
ENSIL-ENSCI_Limoges_Céramique_Industrielle	454	44.3	25.1	383	45.4	25.1	93	53.8	30.1	22	50.0	45.5	103	100	45*	
Lorraine_INP_-_ENSGSI	614	43.5	18.9	403	44.2	19.6	76	42.1	25.0	3	66.7	0.0	58	62	35*	
ESM_Saint-Cyr	503	21.1	26.6	137	20.4	32.1	45	4.4	53.3	11	0.0	54.5	105	102	76*	
Grenoble_INP_-_Génie_Industriel	1105	38.1	20.2	400	40.2	26.5	61	45.9	34.4	3	66.7	66.7	158	154	80*	
ECOLE_DE_L'AIR_Base	415	25.8	30.4	115	29.6	47.0	20	25.0	60.0	2	50.0	100.0	5	5	2	
ECOLE_DE_L'AIR_Méca	380	24.7	31.3	108	28.7	47.2	20	25.0	60.0	3	66.7	33.3	18	17	3	
ECOLE_DE_L'AIR_Pilote	475	21.9	27.6	136	23.5	42.6	23	13.0	47.8	8	12.5	50.0	11	12	8	
ENSISA_Mulhouse_Informatique_et_réseaux										3	100.0	0.0	27	22	4	
ENSISA_Mulhouse_Mécanique										6	16.7	16.7	52	55	5	
ENSISA_Mulhouse_Automatique_et_Systèmes_Embarqués										6	16.7	0.0	53	45	4	
ENSISA_Mulhouse_Textile_et_Fibres										15	60.0	13.3	68	59	9	
Concours ENSISA Mulhouse PC	712	42.8	19.1	629	43.2	19.7	114	44.7	19.3	30					22	
Lorraine_INP_-_ENSTIB	391	37.9	19.4	242	39.7	14.9	13	23.1	15.4	2	0.0	0.0	3	3	6	
EOST_Strasbourg	459	40.7	19.2	352	42.3	19.3	84	42.9	25.0	11	45.5	36.4	25	23	12	
ENTPE_Lyon_Civil										19	15.8	63.2	303	277	20	
ENTPE_Lyon_Fonctionnaire										30	43.3	56.7	189	180	30	
Concours TPE Civil-Fct. PC  	2088	34.5	27.7	1289	34.7	31.5	422	44.8	36.0	49					50	
ENTPE_Lyon_Etranger	2088	34.5	27.7	23	26.1	17.4	4	25.0	25.0	0	0.0	0.0	0	0	1	
EIVP_Paris_Civil	2088	34.5	27.7	1312	34.5	31.2	430	44.7	35.6	20	65.0	35.0	308	277	20	
EIVP_Paris_Fonctionnaire	2088	34.5	27.7	1289	34.7	31.5	426	44.8	35.7	3	66.7	66.7	136	110	3	
IMT_Lille_Douai_Fonct.	2088	34.5	27.7	1289	34.7	31.5	422	44.8	36.0	3	66.7	33.3	103	104	3	
ENSIIE_Evry										12	25.0	41.7	1333	1247	10	
ENSTA_Bretagne_(filière_sous_statut_étudiant)										20	45.0	35.0	568	547	15	
IMT_Mines_Albi										56	35.7	51.8	935	895	50	
IMT_Mines_Alès										49	49.0	34.7	1148	1068	42	
IMT_Lille_Douai										49	22.4	38.8	1186	1125	50	
Mines_Saint_Etienne-ISMIN										16	18.8	50.0	1245	1201	15	
Télécom_Physique_Strasbourg_TI-Santé										7	71.4	28.6	1123	1172	8	
TELECOM_SudParis_-_cursus_Evry										29	34.5	13.8	805	776	30	
TELECOM_SudParis_-_cursus_Sophia-Antipolis										2	50.0	100.0	397	397	3	
Concours Mines-TÃ©lÃ©com	3473	34.6	25.4	1912	34.9	28.1	1796	35.7	28.0	240					223	
ENSTA_Bretagne_(filière_sous_statut_IETA_-_Direction_Générale_de_l'Armement)	3473	34.6	25.4	1699	34.5	30.8	1601	35.4	30.5	8	25.0	37.5	614	564	8	
ENSG-Géomatique_Marne_la_Vallée_Civil										6	33.3	33.3	1401	1380	7	
ENSSAT_Lannion										12	33.3	50.0	1551	1515	10	
TELECOM_Nancy										6	16.7	33.3	803	734	5	
TELECOM_St_Etienne_-_Statut_étudiant										11	9.1	45.5	1271	1211	11	
Concours Mines-TÃ©lÃ©com SpÃ©cifique PC	3473	34.6	25.4	2537	35.0	27.2	2087	35.8	27.3	35					33	
Arts_et_Métiers_-_voie_de_l'apprentissage										0	0.0	0.0	0	0	1	
Arts_et_Métiers										22	59.1	36.4	41	39	19	
Concours ARTS ET MÃ‰TIERS	1298	33.6	26.8	126	42.1	49.2	100	42.0	49.0	22					20	
ESTP_Paris_-_Bâtiment_(B)_â€“_campus_de_Troyes										11	72.7	18.2	663	666	6	
ESTP_Paris_-_Bâtiment_(B)_-_campus_de_Cachan										59	49.2	27.1	412	388	57	
ESTP_Paris_-_Topographie_(T)										11	27.3	9.1	777	770	20	
ESTP_Paris_-_Génie_Mécanique_et_Electrique(GME)										33	39.4	18.2	688	634	30	
ESTP_Paris_-_Travaux_Publics_(TP)										68	32.4	17.6	477	426	60	
Concours ESTP	1026	34.4	27.0	864	34.7	28.1	798	35.8	28.9	182					173	
ENSIBS_Lorient										3	33.3	0.0	4195*	3857*	12*	
ENSIM_Le_Mans										2	50.0	0.0	3129*	3137*	6*	
ESBS_Strasbourg										3	33.3	0.0	630*	501*	3*	
ESGT_le_Mans										3	0.0	0.0	3844*	3784*	15*	
ESI_Reims										2	0.0	0.0	4112*	4055*	10*	
ESIAB_Brest										1	100.0	100.0	3958*	3958*	3*	
ESIPE_Créteil_-_Génie_Biomédical_et_santé_(ISBS)										3	66.7	33.3	4247*	4265*	10*	
ESIPE_Créteil_-_Système_d'information										0	0.0	0.0	4728*	4707*	4*	
ESIPE_Créteil_-_Technologie_pour_la_santé										0	0.0	0.0	0*	0*	2*	
ESIR_Rennes										7	14.3	42.9	4056*	3773*	20*	
ESIREM_Dijon										3	0.0	0.0	4066*	3862*	3*	
ESIROI_Saint_Denis_de_La_Réunion										1	100.0	100.0	5002*	5002*	3*	
ESIX_Normandie_-_Caen_-_Cherbourg										1	0.0	0.0	4723*	4615*	4*	
ISAT_Nevers__-_département__MIT_(Mécanique_et_Ingénierie_des_Transports)										0	0.0	0.0	2261*	2338*	5*	
ISAT_Nevers__-_département_EPEE_(Energies_et_Moteurs)										0	0.0	0.0	3189*	3254*	12*	
ISAT_Nevers__-_Infrastructures_et_Réseaux_de_Transports										0	0.0	0.0	4631*	4616*	4*	
ISIFC_BesanÃ§on_-_Génie_Biomédical										2	100.0	50.0	3911*	3756*	6*	
ISIS_Castres										3	66.7	33.3	3452*	3892*	5*	
ISTIA_Angers										3	66.7	0.0	3604*	3536*	4*	
ISTY_Vélizy										0	0.0	0.0	5106*	5106*	3*	
Polytech_Annecy-Chambéry_-__Environnement,_Bâtiment,_Ã‰nergie										8	25.0	25.0	3735*	3476*	15*	
Polytech_Annecy-Chambéry_-__Informatique_données_Usages										1	0.0	0.0	4511*	4294*	5*	
Polytech_Annecy-Chambéry_-__Instrumentation,_Automatique,_Informatique										2	0.0	0.0	4041*	3614*	4*	
Polytech_Annecy-Chambéry_-_Mécanique,_Matériaux										4	0.0	0.0	4161*	4189*	8*	
Polytech_Clermont-Ferrand__-_Génie_Biologique										4	75.0	50.0	2262*	2328*	5*	
Polytech_Clermont-Ferrand__-_Génie_Civil										2	50.0	0.0	4172*	3663*	16*	
Polytech_Clermont-Ferrand__-_Génie_Electrique										2	0.0	0.0	4899*	4908*	5*	
Polytech_Clermont-Ferrand__-_Génie_Mathématique_et_Modélisation										3	0.0	33.3	4331*	3958*	14*	
Polytech_Clermont-Ferrand__-_Génie_Physique										2	0.0	100.0	4786*	4491*	8*	
Polytech_Grenoble__-__Géotechnique_et_génie_civil										1	100.0	0.0	3783*	3774*	6*	
Polytech_Grenoble__-__Matériaux										5	40.0	20.0	3928*	3710*	8*	
Polytech_Grenoble__-__Prévention_des_risques										3	33.3	33.3	4729*	4335*	6*	
Polytech_Grenoble__-_Informatique_et_électronique_des_systèmes_embarqués										1	0.0	0.0	2514*	2563*	5*	
Polytech_Grenoble__-_Réseaux_informatiques										1	0.0	0.0	4295*	3990*	8*	
Polytech_Grenoble__-_Technologies_de_l'information_pour_la_santé										1	100.0	100.0	4503*	4102*	5*	
Polytech_Lille__-_Génie_biologique_et_alimentaire										4	50.0	50.0	4460*	4218*	4*	
Polytech_Lille__-_Génie_Informatique_et_statistique										0	0.0	0.0	3714*	3424*	10*	
Polytech_Lille__-_Géotechnique,_Génie_civil										0	0.0	0.0	3662*	3429*	10*	
Polytech_Lille__-_Informatique,_Microélectronique,_Automatique										1	0.0	0.0	3749*	3695*	8*	
Polytech_Lille__-_Ingénierie_et_commercialisation_des_systèmes_de_mesure										1	0.0	0.0	4918*	4918*	5*	
Polytech_Lille__-_Matériaux										2	0.0	50.0	3248*	3356*	8*	
Polytech_Lille__-_Mécanique										2	0.0	0.0	3408*	3309*	10*	
Polytech_Lyon__-_Génie_Bomédical										1	100.0	0.0	2578*	2593*	4*	
Polytech_Lyon__-_Informatique										0	0.0	0.0	2164*	2054*	4*	
Polytech_Lyon__-_Matériaux										3	0.0	0.0	2845*	2821*	4*	
Polytech_Lyon__-_Mathématiques_Appliquées_et_Modélisation										0	0.0	0.0	2654*	2257*	4*	
Polytech_Lyon__-_Mécanique										2	0.0	100.0	2472*	2231*	4*	
Polytech_Lyon__-_Systèmes_industriels,_Robotique										1	0.0	0.0	3212*	3126*	4*	
Polytech_Marseille__-_Génie_Biomédical										5	40.0	40.0	3214*	2753*	9*	
Polytech_Marseille__-_Génie_Civil										2	0.0	100.0	4775*	4611*	12*	
Polytech_Marseille__-_Génie_Industriel_et_Informatique										1	0.0	0.0	4729*	4212*	8*	
Polytech_Marseille__-_Informatique										0	0.0	0.0	4340*	4060*	8*	
Polytech_Marseille__-_Matériaux										8	37.5	12.5	4214*	4184*	10*	
Polytech_Marseille__-_Mécanique,_Energétique										8	0.0	37.5	4250*	3441*	16*	
Polytech_Marseille__-_Microélectronique,Télécommunications										3	0.0	0.0	4977*	4870*	8*	
Polytech_Montpellier_-_Informatique_et_Gestion										2	0.0	0.0	3875*	3444*	3*	
Polytech_Montpellier_-_Matériaux										7	57.1	42.9	3431*	3401*	7*	
Polytech_Montpellier_-_Mécanique_et_Interactions										2	0.0	50.0	3450*	3356*	2*	
Polytech_Montpellier_-_Microélectronique_et_Automatique										1	0.0	0.0	2860*	3040*	5*	
Polytech_Montpellier_-_Sciences_et_technologies_de_l'eau										6	16.7	16.7	3497*	3351*	7*	
Polytech_Montpellier_Génie_biologique_et_agroalimentaire										5	60.0	0.0	2918*	3121*	5*	
Polytech_Nancy_-_Energie,_Mécanique,_Matériaux,_Environnement										5	40.0	0.0	3503*	3361*	12*	
Polytech_Nancy_-_Ingénierie_de_l'Information_et_des_Systèmes										2	0.0	50.0	3252*	3166*	2*	
Polytech_Nancy_-_Management_opérationnel,_Maintenance,_MaÃ®trise_des_risques										1	0.0	100.0	4740*	4775*	2*	
Polytech_Nantes__-_Ã‰lectronique_et_technologies_numériques										0	0.0	0.0	3491*	3225*	8*	
Polytech_Nantes__-_Ã‰nergie_électrique										1	100.0	100.0	3819*	3883*	4*	
Polytech_Nantes__-_Génie_civil										2	0.0	0.0	2814*	2573*	4*	
Polytech_Nantes__-_Génie_des_Procédés_et_Bioprocédés										2	100.0	0.0	1807*	1807*	2*	
Polytech_Nantes__-_Informatique										1	0.0	0.0	3197*	2958*	9*	
Polytech_Nantes__-_Matériaux										7	14.3	14.3	2758*	2507*	8*	
Polytech_Nantes__-_Thermique,_Ã‰nergétique										3	66.7	33.3	3705*	3477*	7*	
Polytech_Nice-Sophia__-_Bâtiments										3	33.3	33.3	4118*	4061*	13*	
Polytech_Nice-Sophia__-_Ã‰lectronique										1	100.0	0.0	4670*	4415*	10*	
Polytech_Nice-Sophia__-_Génie_biologique										3	100.0	0.0	1244*	1431*	3*	
Polytech_Nice-Sophia__-_Génie_de_l'eau										5	0.0	40.0	4694*	4376*	10*	
Polytech_Nice-Sophia__-_Informatique										1	0.0	0.0	4460*	4218*	14*	
Polytech_Nice-Sophia__-_Mathématiques_appliquées,_Modélisation										1	0.0	100.0	3866*	3781*	14*	
Polytech_Orléans__-_Génie_civil_et_géo-environnement										1	0.0	0.0	4615*	4406*	14*	
Polytech_Orléans__-_Génie_industriel										2	50.0	100.0	4851*	4720*	12*	
Polytech_Orléans__-_Innovation_en_Conception_et_Matériaux										2	0.0	50.0	4892*	4774*	8*	
Polytech_Orléans__-_Technologies_pour_l'Ã‰nergie,_l'Aérospatial_et_la_Motorisation										5	20.0	0.0	2924*	2830*	14*	
Polytech_Orléans_-_Génie_physique_et_systèmes_embarqués										1	100.0	0.0	4091*	4121*	6*	
Polytech_Paris-Sud__-_Electronique,_Energie,_Systèmes										0	0.0	0.0	4063*	3689*	6*	
Polytech_Paris-Sud__-_Informatique										0	0.0	0.0	1746*	1746*	2*	
Polytech_Paris-Sud__-_Photonique_et_systèmes_optroniques										2	50.0	50.0	4623*	4000*	5*	
Polytech_Paris-Sud_-_Matériaux										0	0.0	0.0	4127*	3867*	4*	
Polytech_Sorbonne_-_Electronique_et_Informatique										1	100.0	0.0	3253*	3180*	3*	
Polytech_Sorbonne_-_Informatique_et_mathématiques_appliquées										1	0.0	0.0	1872*	2192*	3*	
Polytech_Sorbonne_-_Matériaux										7	57.1	57.1	4211*	3931*	10*	
Polytech_Sorbonne_-_Robotique										2	0.0	100.0	3247*	2943*	5*	
Polytech_Sorbonne_-_Sciences_de_la_Terre										0	0.0	0.0	4533*	4215*	10*	
Polytech_Tours_-_Ã‰lectronique,_Ã‰nergie_électrique										0	0.0	0.0	4487*	4487*	2*	
Polytech_Tours_-_Génie_de_l'aménagement_et_de_l'environnement										3	0.0	33.3	4632*	4453*	7*	
Polytech_Tours_-_Informatique										0	0.0	0.0	4272*	3659*	7*	
Polytech_Tours_-_Mécanique,_Conception_de_systèmes										0	0.0	0.0	3852*	3870*	5*	
Sup_Galilée__Villetaneuse										3	33.3	33.3	4166	3933	18*	
Concours POLYTECH	2282	40.2	21.8	1684	41.0	22.6	1522	41.5	24.0	212					694	
ECE_PARIS	641	38.5	18.7	568	38.6	19.0	219	37.9	21.0	34	29.4	20.6	144	137	30	
EFREI_Paris	419	36.0	16.2	389	36.2	15.2	90	32.2	17.8	12	41.7	8.3	69	64	20	
EIDD_Paris	349	44.4	14.9	309	45.3	14.9	150	51.3	14.7	3	66.7	0.0	131	130	15	
EIGSI_La_Rochelle	275	41.8	17.5	222	41.9	18.0	79	43.0	15.2	9	33.3	11.1	66	66	10	
EIL_CÃ´te_d'Opale_-_Calais_(informatique)										2	100.0	0.0	51	51	3	
EIL_CÃ´te_d'Opale_-_Longuenesse_(Génie_Industriel)										1	0.0	0.0	47	47	5	
Concours EIL CÃ´te d'Opale Longuenesse - Calais	158	45.6	18.4	117	49.6	18.8	52	53.8	19.2	3					8	
ELISA_Aérospace_Saint_Quentin_(80)	335	39.1	21.8	254	41.7	23.6	87	39.1	26.4	5	60.0	80.0	69	70	5	
EME	263	51.7	18.3	217	53.5	21.2	110	54.5	26.4	5	0.0	20.0	91	81	20	
ENSAIT_Roubaix										35	77.1	11.4	92	90	35	
ENSAIT_Roubaix__-_Formation_en_alternance										1	100.0	0.0	126	126	2	
Concours ENSAIT Roubaix	543	54.1	18.2	442	53.8	19.0	143	60.8	24.5	36					37	
ENSIL_Limoges_EE	574	48.8	22.1	447	50.8	24.6	125	60.0	26.4	21	47.6	38.1	54	49	18	
ENSIL_Limoges_ELT	299	36.1	22.7	221	38.0	23.1	43	48.8	27.9	3	33.3	66.7	32	32	6	
ENSIL_Limoges_Matériaux	528	44.3	22.2	414	47.6	23.9	138	56.5	26.8	14	57.1	28.6	35	33	12	
EPF_campus__TROYES										8	37.5	12.5	188	191	7	
EPF_campus_MONTPELLIER										7	42.9	14.3	122	119	4	
EPF_campus_SCEAUX										6	16.7	50.0	124	110	4	
Concours EPF Sceaux-Troyes-Montpellier	458	48.7	17.2	365	51.0	19.5	222	51.4	20.7	21					15	
ESB_Nantes	161	39.1	25.5	118	43.2	28.0	15	20.0	40.0	6	33.3	16.7	10	9	10	
ESIEA_Paris_-_Laval	274	36.5	18.2	239	36.0	18.4	88	36.4	21.6	5	0.0	0.0	79	77	15	
ESIEE_Amiens	291	37.1	18.2	231	38.1	18.6	33	39.4	15.2	1	0.0	0.0	30	30	10	
ESIEE_Paris	356	39.9	16.9	327	40.4	16.8	91	41.8	12.1	17	29.4	0.0	51	56	20	
ESIGELEC_Rouen	322	39.1	19.9	296	39.9	19.6	91	30.8	27.5	12	16.7	16.7	72	71	20	
ESILV_Paris-La_Défense	523	36.5	17.8	450	37.6	19.1	186	35.5	20.4	31	35.5	12.9	72	70	30	
ESITC_Caen	179	48.6	20.1	151	49.7	21.2	12	33.3	8.3	1	0.0	0.0	12	12	12	
ESTACA_Laval_Aéronautique_et_spatial										2	50.0	0.0	32	32	1	
ESTACA_Laval_Automobile										2	0.0	50.0	103	103	1	
ESTACA_Paris-Saclay_Aéronautique_et_spatial										3	66.7	0.0	61	51	2	
ESTACA_Paris-Saclay_Automobile_ou_Transports_Guidés										4	0.0	25.0	66	69	3	
Concours ESTACA Paris-Saclay/Laval	561	31.6	21.2	162	29.6	30.9	162	29.6	30.9	11					7	
ESTIA_Bidart	215	41.9	14.4	185	41.1	15.1	54	33.3	20.4	12	25.0	8.3	29	28	20	
IMT_Lille_Douai_en_Partenariat_ISPA	295	44.4	21.0	276	44.2	21.0	37	51.4	16.2	6	33.3	50.0	18	17	12	
Toulouse_INP_-_ENIT	536	41.0	17.2	199	45.2	16.6	154	47.4	15.6	1	100.0	0.0	124	124	2	
INSA_centre_val_de_loire_GSI										2	0.0	50.0	25	25	2	
INSA_centre_val_de_loire_MRI										3	33.3	33.3	15	15	8	
INSA_centre_val_de_loire_STI										2	0.0	0.0	16	16	2	
Concours INSA Centre Val de Loire	385	41.6	18.7	253	43.9	19.4	34	32.4	26.5	7					12	
ISMANS-Groupe_CESI_Le_Mans	149	47.0	19.5	145	46.9	20.0	30	50.0	13.3	3	33.3	33.3	22	20	10	
ITECH_Lyon	474	59.3	20.3	424	59.2	21.5	110	71.8	13.6	40	77.5	22.5	67	63	40	
Paoli_Tech	109	44.0	22.0	72	45.8	29.2	31	48.4	29.0	0	0.0	0.0	0	0	2	
3IL_Ingénieurs	155	39.4	21.3	133	37.6	22.6	23	26.1	21.7	0	0.0	0.0	0	0	5	
ECAM_Rennes	856	49.4	17.5	795	49.8	18.2	46	39.1	10.9	6	50.0	0.0	22	19	12	
ECAM_Lyon	856	49.4	17.5	528	49.6	23.3	73	52.1	30.1	3	66.7	33.3	58	54	5	
ECAM_Strasbourg_Europe	856	49.4	17.5	792	49.6	18.3	71	47.9	18.3	5	60.0	0.0	52	53	10	
ECAM-EPMI_Cergy-Pontoise	856	49.4	17.5	807	49.8	18.2	86	39.5	18.6	2	0.0	0.0	69	69	10	
ESAIP_Angers_/_Aix-en-Provence	856	49.4	17.5	799	49.8	18.1	363	49.9	25.1	9	55.6	22.2	346	340	20	
ESCOM_Chimie_Compiègne	856	49.4	17.5	724	49.3	19.5	164	62.8	22.0	18	66.7	11.1	130	129	20	
